"Address","Pricing","Pricing Currency","Image","Built Year","Listing URL","Street Address","City","State","Zipcode","Living Area","Lot Size","Property Tax Rate","Is Zillow Owned","Last Sold Price","Description","Days on Zillow","Brokerage Name","Virtual Tour","Number of Bedrooms","Number of Bathrooms","Listing Provided By","Status"
"Georgetown, 200 Scurry Pass, 78633,  TX","650000","USD","https://photos.zillowstatic.com/fp/4dc4dcfba2cfbea28b111f139f9bc68c-cc_ft_192.jpg","2001","https://www.zillow.com/homedetails/200-Scurry-Pass-Georgetown-TX-78633/58268503_zpid/","200 Scurry Pass","Georgetown","TX","78633","2048 Square Feet","0.2894Acres","1.58","","","Ideally located in the heart of Sun City Texas, this home offers a central location with convenient access to the community center, amenities, and a wide range of activities. Thoughtfully designed for both comfort and privacy, the floor plan offers ideal separation between the guest bedroom and primary suite, perfect for accommodating visitors. Step outside to your own private retreat with a sparkling pool, enhanced by mature landscaping that provides both beauty and shade. Recent updates include new pool equipment and resurfacing, ensuring worry-free enjoyment. Enjoy year-round outdoor living from the screened-in patio, perfect for relaxing or entertaining without the hassle of insects. Inside, the home is accented with plantation shutters and fresh interior paint, creating a bright and inviting atmosphere throughout. This well-maintained property combines location, functionality, and lifestyle, ideal for enjoying everything Sun City living has to offer.","1","ERA Experts","","3","2","Matt Menard, ERA Experts, , , (512) 270-4765, (512) 270-4765",""
"Corinth, 4108 Windy Meadow Dr, 76208,  TX","549000","USD","https://photos.zillowstatic.com/fp/6e02d50cfcee8b2cc63077ab7d8b26b8-cc_ft_192.jpg","2003","https://www.zillow.com/homedetails/4108-Windy-Meadow-Dr-Corinth-TX-76208/55167275_zpid/","4108 Windy Meadow Dr","Corinth","TX","76208","2776 Square Feet","0.26Acres","1.51","","","Lovingly maintained by its original owner since construction, this beautifully updated 4-bedroom, 2.5-bath home sits on a spacious corner lot in the heart of Corinth and offers the perfect blend of comfort, style, and outdoor living. Remodeled in 2021, the home features gorgeous engineered wood floors throughout the first floor, along with thoughtfully updated kitchen and bathrooms. A welcoming entry is flanked by a private office—ideal for working from home—and a formal dining room for hosting gatherings. At the back of the home, the light-filled living room impresses with soaring two-story ceilings, a cozy fireplace, and a wall of windows that frame views of the backyard oasis. The open-concept layout flows seamlessly into the breakfast area and spacious kitchen, complete with abundant white cabinetry, generous counter space, and a center island - perfect for everyday living and entertaining. The primary suite offers a peaceful retreat with a tray ceiling and a beautifully updated ensuite bath featuring dual sinks, a soaking tub, separate shower, and a walk-in closet. A convenient half bath completes the first floor. Upstairs, you’ll find three additional bedrooms, a full bath, and a bright, oversized game room with tray ceiling—ideal for relaxing or play. Step outside to your private backyard retreat, where a sparkling pool takes center stage. The covered patio is designed for entertaining, featuring a built-in grill, bar seating, outdoor speakers, and space for a mini fridge with electricity already in place. A storage shed and ample yard space add even more functionality. Located near the Denton Katy Trail, sports fields, and The Commons at Agora Park with its playground, splash pad, picnic areas, and food truck court, this home also offers easy access to I-35 for a convenient commute. Come experience the warmth, space, and lifestyle this exceptional home has to offer.","7","Coldwell Banker Apex, Realtors","","4","3","Stacy Faivre, Coldwell Banker Apex, Realtors, , , 817-689-4136, 972-829-4450",""
"Fort Worth, 1320 Madeline Pl, 76107,  TX","575000","USD","https://photos.zillowstatic.com/fp/6052ebab905ca8fffe4f8f7e8acb79c6-cc_ft_192.jpg","1919","https://www.zillow.com/homedetails/1320-Madeline-Pl-Fort-Worth-TX-76107/29027253_zpid/","1320 Madeline Pl","Fort Worth","TX","76107","2135 Square Feet","7492.32Square Feet","1.7","","","Charming Craftsman in the heart of Fort Worth’s coveted Cultural District—an area buyers actively seek for its character, walkability, and proximity to everything that makes Fort Worth special. Located just steps away from the renowned Bowie House Hotel (featured in Landman), world-class art museums, top medical facilities, and only a few miles west of downtown, this home offers both lifestyle and location. Featuring 3 bedrooms and 3 full bathrooms, the home showcases ORIGINAL HARDWOODS throughout, abundant natural light, and timeless architectural details. The formal dining room features a coffered ceiling with direct access to a 14x6 side patio, perfect for entertaining. The kitchen blends original charm cabinetry—freshly painted—with new tile flooring and quartz countertops. Additional upgrades include fresh interior and exterior paint, a newly added gable enhancing neighborhood cohesion, updated plumbing, and a newer tankless water heater. An added benefit is the option for two owner’s suites, with the seller completing a full ensuite bath in the rear bedroom featuring a walk-in shower, marble tile, and granite vanity. Outside, enjoy new sod surrounding the half-moon parking area and additional gravel parking behind the wood fence, with space to build a garage similar to neighboring homes. A 16x10 permitted shed with AC, electricity, plumbing cleanout, and RV outlet offers endless potential for a man cave or future ADU. The floored attic is ideal for storage or a future conversion. With a 2019 5-ton HVAC system, this home delivers both charm and function in one of Fort Worth’s most sought-after neighborhoods.","7","LPT Realty LLC","","3","3","Christie Cannon, LPT Realty LLC, Elizabeth Hurley, LPT Realty LLC, , , 972-215-7747, 972-215-7747, 945-234-8384",""
"Houston, 7522 Deep Forest Dr, 77088,  TX","284900","USD","https://photos.zillowstatic.com/fp/6e7fda3607625e82ce6871edc98b7693-cc_ft_192.jpg","1969","https://www.zillow.com/homedetails/7522-Deep-Forest-Dr-Houston-TX-77088/28125075_zpid/","7522 Deep Forest Dr","Houston","TX","77088","2325 ","9374.112Square Feet","1.75","","","Stunning 4-bed, 3-bath home featuring an open floor plan and two primary suites in Inwood Forest. The 2 primary suites can be used as a private guest suite or as a multi-generational living layout w/ separate access. Updated luxury vinyl flooring throughout, plantation shutters, fresh paint, and upgraded hardware. The kitchen is equipped w/ a double oven and an SS workstation w/ a double-basin sink and an integrated drying rack for the ultimate chef! The home offers built-in shelves and a wood-burning fireplace in the family room. Major systems: an updated AC (2021) w/ a 10-year parts warranty and an energy-efficient water heater (2018). The exterior features mature trees, a covered patio, and outdoor green space overlooking future parks and trails from the Inwood Forest Regional Detention Project (Q3 2026 completion). A gated U-shaped driveway provides covered parking for up to 6 vehicles. Easy access to Hwy 290, Loop 610, and I-45. You do not want to miss this move-in-ready home!","28","","","4","3","Morad Fiki, , , 832-979-8501",""
"New Braunfels, 230 Falling Hls, 78132,  TX","674000","USD","https://photos.zillowstatic.com/fp/b7fc36c0c0389d7bfba7162343d2875f-cc_ft_192.jpg","2012","https://www.zillow.com/homedetails/230-Falling-Hls-New-Braunfels-TX-78132/61896035_zpid/","230 Falling Hls","New Braunfels","TX","78132","1925 Square Feet","1.01Acres","1.16","","","Must see, one-story, Canavan & Frank custom home with a pool. This property is on a 1+ acre corner lot toward the back of River Chase away from main traffic/FM306 for a quiet and more peaceful setting. Notable features include stunning tongue-and-groove ceilings, concrete flooring throughout, impressive iron front doors, custom cabinetry, well-appointed kitchen with double ovens, stone fireplace w/ built-ins, four side masonry, metal roof, partially fenced/privacy fenced, mature trees and a great backyard entertaining area with pool (heated for fall/winter). Don’t forget to go tour the great amenities residents have access to,  such as a 58 acre PRIVATE Guadalupe River park, multiple swimming pools, fishing pond, walking trails, tennis courts, park/playground and clubhouse with workout facility.  Zoned to Hoffmann Lane Elementary and No City Taxes make this a desirable location. Come tour today.","6","BHHS Don Johnson REALTORS - NB","","3","2","Heather Trevilion, BHHS Don Johnson REALTORS - NB, Shannon Anderson, BHHS Don Johnson REALTORS - NB, , , (830)643-0292, 830-643-4342",""
"Dallas, 4407 Munger Ave Unit 1, 75204,  TX","465000","USD","https://photos.zillowstatic.com/fp/1c8011fe52a22cb4f7a7eb5a4a9a7e7e-cc_ft_192.jpg","2016","https://www.zillow.com/homedetails/4407-Munger-Ave-UNIT-1-Dallas-TX-75204/248829344_zpid/","4407 Munger Ave Unit 1","Dallas","TX","75204","1439 Square Feet","7230.96Square Feet","1.67","","","Seeking natural light? The end unit at 4407 Munger Avenue #1 has 3 walls of windows. This multi-level condominium in the Old East Dallas area near Henderson Avenue & Lower Greenville, showcases green trees and Dallas skyline views from multiple floors.  The large rooftop terrace is the perfect outdoor retreat decked out with lighting and equipped with gas for a grill and water for an outdoor kitchen set up.

The open floor plan on the second level offers treehouse vibes through the oversized picture windows. The kitchen island is a great space for in-kitchen dining or buffet set up. It has ample seating for 4+ along with a built-in beverage refrigerator & lots of cabinets for storage. The Bosch 5-burner, gas range with convection oven makes it easy to entertain and prepare the latest recipes for family and friends.

The property offers 2 bedrooms with en-suite baths, a half bath on the second floor, outdoor living areas on the rooftop and on the ground level, both equipped with water and gas so you can grill or garden with ease.

The primary suite boasts two walk-in closets and a Juliet balcony to take in the city views. The guest room has room for a desk along with a Murphy bed. 

The attached 2 car garage has multiple storage or shelving areas along with a work space for your outdoor projects.

One of four residences in this intimate community, this transitional style unit offers urban living with panoramic views of downtown but without the traffic congestion of city living. The property is conveniently located on the Baylor Hospital grid, so you won’t lose power when you need it the most. Jimmy’s Food Store, St. Martin’s Wine Bistro, E Bar Tex-Mex, Loro Asian Smokehouse & Bar as well as a variety of retail are blocks from this property. Less than 1 mile to the Rustic and Uptown. Rooftop views, picture windows, great location, lock & leave, ready for you to call this address home.","1","Briggs Freeman Sotheby's Int'l","","2","3","JB Hayes, Briggs Freeman Sotheby's Int'l, , , 214-334-3977, 214-350-0400",""
"La Porte, 10439 Catlett Ln, 77571,  TX","330000","USD","https://photos.zillowstatic.com/fp/13748330f63b3b9b347ac424ee799f1b-cc_ft_192.jpg","1980","https://www.zillow.com/homedetails/10439-Catlett-Ln-La-Porte-TX-77571/28315269_zpid/","10439 Catlett Ln","La Porte","TX","77571","2375 Square Feet","9021.276Square Feet","1.75","","","Step into this spacious home on Catlett Lane, featuring a fully remodeled kitchen and bathrooms. Enjoy a large woodworking shop, a versatile extra room, and a bright living room with a stunning fireplace. The generously sized bedrooms offer flexibility for family or a home office. Outside, a fenced backyard with green space awaits for entertaining or relaxing. This 4-bed, 2-bath residence built in 1980 boasts 2375 sqft of living space on a 9020 sqft lot in Fairmont Park. Updates include a kitchen remodel, foundation repair, roof replacement, and HVAC upgrade. Your dream home awaits!","1","Orchard Brokerage","","4","3","Robert Aguilar, Orchard Brokerage, , , 713-306-9284",""
"Fort Worth, 405 Chandler Lake Rd, 76103,  TX","325000","USD","https://photos.zillowstatic.com/fp/0213cfbcbe4e8c0783b822fccbd4c7cf-cc_ft_192.jpg","1971","https://www.zillow.com/homedetails/405-Chandler-Lake-Rd-Fort-Worth-TX-76103/29155350_zpid/","405 Chandler Lake Rd","Fort Worth","TX","76103","2735 ","0.37Acres","1.7","","","**405 Chandler Lake – Investor’s Dream with Instant Equity**

Welcome to one of the most striking homes on a rare curved corner lot in Fort Worth. This impressive property sits on a massive, multi-tiered front yard that delivers jaw-dropping curb appeal the moment you pull up. Towering trees, sweeping landscaping, and dramatic elevation make this home stand out from every angle.

Inside, you’ll find a beautifully open floorplan that feels bright and spacious. The current owners have already invested **over $60,000 in visible upgrades**, including a brand-new roof (2023), **all new energy-efficient windows**, and a **brand-new HVAC system installed in 2026**. The kitchen and main living areas have been tastefully updated, setting the stage for the perfect blend of modern finishes and timeless charm.

This rare half-renovated gem is ideally suited for an investor or hands-on buyer ready to finish the vision. With the heavy lifting already complete, you can step in and customize the remaining spaces exactly how you (or your buyer) want—creating instant equity and maximum value.

Additional highlights:
- 2-car garage
- Exceptional location with easy access to major highways, shopping, dining, and entertainment
- Prime corner lot with endless curb appeal

Whether you’re looking for your next project or a move-in-ready home with room to grow, 405 Chandler Lake offers the perfect combination of location, size, and upside potential. Don’t miss this opportunity to own a true standout property in Fort Worth. Call today for a private showing and see why this home is generating so much excitement!","4","","","4","3","Brad Smith, , , ",""
"Houston, 17338 Kiowa River Ln, 77095,  TX","374990","USD","https://photos.zillowstatic.com/fp/be0a334d840bb3f01596317549601770-cc_ft_192.jpg","1997","https://www.zillow.com/homedetails/17338-Kiowa-River-Ln-Houston-TX-77095/28540269_zpid/","17338 Kiowa River Ln","Houston","TX","77095","2869 Square Feet","6825.852Square Feet","1.75","","","Spacious 2-story home in Riata Ranch featuring an excellent brick curb appeal with a shaded porch and a manageable backyard space with an open patio and hot tub! The 1st floor offers wood and tile flooring throughout, a vaulted ceiling in the living room with a dual-sided fireplace shared with the primary bedroom, large windows allowing natural light, a study with a closet for a guest bedroom option, a formal dining with a tray ceiling, crown molding, a bay window breakfast area, and island kitchen with granite counters, tile backsplash, and stainless steel appliances. Also downstairs, the primary bath includes dual sinks, a frameless glass shower, jetted tub, and walk-in closet while upstairs holds the large game room, 3 bedrooms, and the 2nd full bath. This home is located with easy access to Barker Cypress, Towne Lake Boardwalk, Hwy 290, Cy-Fair schools, and more in the Cypress area!","3","Realty Of America, LLC","","4","3","Mark Dimas, Realty Of America, LLC, Kimberly Martin, Realty Of America, LLC, , , 281-861-6199, 281-939-2150",""
"San Antonio, 6522 Waterfall, 78239,  TX","395000","USD","https://photos.zillowstatic.com/fp/102bac591811d762f0164d1742cb4f2e-cc_ft_192.jpg","1977","https://www.zillow.com/homedetails/6522-Waterfall-San-Antonio-TX-78239/26178903_zpid/","6522 Waterfall","San Antonio","TX","78239","1802 ","0.381Acres","1.77","","","Your backyard oasis awaits at 6522 Waterfall! This beautifully updated home offers the perfect blend of comfort, style, and functionality. Step outside to enjoy your own private retreat featuring a newly redone pool, a BBQ pergola, and a spacious covered patio ideal for entertaining guests or unwinding during peaceful Texas evenings. The exterior also includes new gutters and a versatile workshop, providing additional storage or space for hobbies and projects. Inside, the home has been thoughtfully upgraded with fresh interior paint and fully redone flooring throughout, creating a clean and modern feel from the moment you walk in. The kitchen is a true highlight, showcasing custom cabinetry, sleek quartz countertops, and ample space for cooking and gathering. The open and inviting layout makes this home perfect for both everyday living and hosting. With its combination of stylish interior upgrades and exceptional outdoor amenities, this home truly offers the best of indoor and outdoor living. Conveniently located near shopping, dining, and major highways, this move-in ready property is one you don't want to miss!","7","","","4","3","Jennifer Smith, , , (726) 231-0778",""
"Argyle, 4993 Kiowa Trl, 76226,  TX","1200000","USD","https://photos.zillowstatic.com/fp/610af22c3621bf4c278a6bf277cd3cd1-cc_ft_192.jpg","1994","https://www.zillow.com/homedetails/4993-Kiowa-Trl-Argyle-TX-76226/27278977_zpid/","4993 Kiowa Trl","Argyle","TX","76226","4242 Square Feet","1.343Acres","1.51","","","Nestled in the heart of Argyle, TX and zoned for the highly sought-after Argyle ISD, this charming farmhouse offers the perfect blend of peaceful country living and modern comfort. A long, private driveway leads you to a welcoming front porch, ideal for enjoying quiet mornings and Texas sunsets. Step inside to discover a warm and inviting kitchen, featuring ample cabinetry, beautiful granite countertops, and plenty of prep space. The home offers both a formal dining area and a designated breakfast nook, creating flexibility for gatherings large and small. The main living room is truly the heart of the home, showcasing soaring ceilings, a cozy fireplace, and an open, airy feel. The primary suite provides a serene retreat, complete with a spacious ensuite bathroom featuring dual sinks, a jetted tub, and generous counter space, perfect for relaxing and unwinding. The thoughtfully designed downstairs layout includes two additional bedrooms and a full bathroom with dual sinks, along with a dedicated home office. A standout feature is the massive family room, rich with natural woodwork, a grand wood-burning fireplace, and ceiling fan, perfect for cozy nights in or hosting guests. The hallway offers a built-in desk area and a functional mudroom that leads to an impressive 4-car garage with abundant storage. Above the garage, a game room provides the ultimate space for entertaining, game days, and making lasting memories. Upstairs, you’ll find two additional bedrooms connected by a convenient Jack-and-Jill bathroom, offering comfort and privacy. Step outside and experience your own private oasis. The expansive backyard boasts a sparkling pool, covered patio with an outdoor kitchen, and a fire pit, perfect for entertaining year-round. Additional features include a large garden, chicken coop, workshop, and plenty of open space for pets, animals, or simply enjoying the outdoors. Workshop plans are available to show potential mother-in-law suite remodel.","7","MAGNOLIA REALTY","","5","4","Kason Hart, MAGNOLIA REALTY, , , 940-294-6916, 940-294-6916",""
